timestamp,detected_object,confidence_level,spray_status
"10/21/2025, 9:51:07 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:08 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:11 PM",snail-infested crops:23.3%,23.3,off
"10/21/2025, 9:51:13 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:17 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:19 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:21 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:24 PM","snail-infested crops:44.2%,snail-infested crops:28.5%,stressed crops:17.2%",44.2,off
"10/21/2025, 9:51:28 PM",snail-infested crops:14.9%,14.9,off
"10/21/2025, 9:51:29 PM",snail-infested crops:14.9%,14.9,off
"10/21/2025, 10:01:41 PM",snail-infested crops:66.9%,66.9,off
"10/21/2025, 10:01:47 PM",snail-infested crops:51.3%,51.3,off
"10/21/2025, 10:01:56 PM",snail-infested crops:68.6%,68.6,off
"10/21/2025, 10:03:38 PM",snail-infested crops:67.6%,67.6,off
"10/21/2025, 10:03:44 PM",stressed crops:62.6%,62.6,off
"10/21/2025, 10:03:48 PM",snail-infested crops:70.8%,70.8,off
"10/21/2025, 10:03:45 PM",stressed crops:62.6%,62.6,off
"10/21/2025, 10:03:50 PM",snail-infested crops:73.2%,73.2,off
"10/21/2025, 10:03:53 PM",snail-infested crops:63.3%,63.3,off
"10/21/2025, 10:03:55 PM",snail-infested crops:77.0%,77,off
"10/21/2025, 10:04:00 PM",snail-infested crops:77.6%,77.6,off
"10/21/2025, 10:04:03 PM",snail-infested crops:86.9%,86.9,off
"10/21/2025, 10:04:05 PM",snail-infested crops:86.9%,86.9,off
"10/21/2025, 10:04:08 PM",snail-infested crops:83.9%,83.9,off
"10/21/2025, 10:04:10 PM",snail-infested crops:82.9%,82.9,off
"10/21/2025, 10:04:12 PM",snail-infested crops:87.9%,87.9,off
