gateway_timestamp,node_timestamp,raw_adc,vwc_percent,rssi_dbm,distance_m,battery_voltage,soc_percent,charging,charge_pin
2025-11-13 08:31:19,52965091,,,,,4.52,100,NO,
2025-11-13 09:00:19,54705061,192.0,42.00,-89,7.31,,,NO,
2025-11-13 09:01:19,54769085,,,,,4.52,100,NO,
2025-11-13 09:30:19,56505793,197.0,40.00,-88,6.58,,,NO,
2025-11-13 10:00:19,58310566,200.0,38.00,-90,8.11,,,NO,
2025-11-13 10:01:19,58365096,,,,,4.5,100,NO,
2025-11-13 10:30:19,60105572,201.0,38.00,-87,5.93,,,NO,
2025-11-13 10:31:19,60165084,,,,,4.49,100,NO,
2025-11-13 11:00:20,61906558,201.0,38.00,-87,5.93,,,NO,
2025-11-13 11:01:20,61965602,,,,,4.48,100,NO,
2025-11-13 11:30:20,63705072,203.0,37.00,-87,5.93,,,NO,
2025-11-13 11:31:20,63765093,,,,,4.47,100,NO,
2025-11-13 12:00:20,65505802,211.0,33.00,-88,6.58,,,NO,
2025-11-13 12:01:20,65569079,,,,,4.46,100,NO,
2025-11-13 12:30:20,67307071,236.0,21.00,-89,7.31,,,NO,
2025-11-13 12:31:20,67365086,,,,,4.44,100,NO,
2025-11-13 13:00:20,69106803,271.0,4.00,-93,11.1,,,NO,
2025-11-13 13:01:20,69170815,,,,,4.4,100,NO,
2025-11-13 13:30:20,70905061,350.0,,-90,8.11,,,NO,
2025-11-13 13:31:20,70966592,,,,,4.32,100,NO,
2025-11-13 18:04:14,22960,361.0,,-92,10,,,NO,
2025-11-13 18:05:14,89509,,,,,3.9,59,NO,
